,MedianICC,MedianICCLower,MedianICCHigher
original_shape_Elongation,0.939256578,0.929710365,0.948216345
original_shape_Flatness,0.953566852,0.94614292,0.960503016
original_shape_LeastAxisLength,0.98260361,0.979725215,0.985268116
original_shape_MajorAxisLength,0.994598686,0.993692463,0.995434366
original_shape_Maximum2DDiameterColumn,0.972308558,0.967781655,0.976512846
original_shape_Maximum2DDiameterRow,0.956904092,0.949986235,0.96336056
original_shape_Maximum2DDiameterSlice,0.99517888,0.99436946,0.995925155
original_shape_Maximum3DDiameter,0.996730143,0.996180183,0.99723695
original_shape_MeshVolume,0.993845428,0.992813723,0.994797051
original_shape_MinorAxisLength,0.99090397,0.989384361,0.992306942
original_shape_Sphericity,0.980304651,0.977054603,0.983315398
original_shape_SurfaceArea,0.996166671,0.995522357,0.996760532
original_shape_SurfaceVolumeRatio,0.975241036,0.971179559,0.979009545
original_shape_VoxelVolume,0.993858023,0.992828415,0.994807709
original_firstorder_10Percentile,0.926958032,0.915649524,0.937613502
original_firstorder_90Percentile,0.9433308,0.934380937,0.951719955
original_firstorder_Energy,0.994750997,0.993870174,0.995563215
original_firstorder_Entropy,0.940605848,0.931256437,0.949377132
original_firstorder_InterquartileRange,0.954839748,0.947608345,0.961593291
original_firstorder_Kurtosis,0.880280878,0.862796163,0.897002658
original_firstorder_Maximum,0.778829862,0.750646233,0.806668489
original_firstorder_MeanAbsoluteDeviation,0.94995748,0.941990959,0.957409149
original_firstorder_Mean,0.943484363,0.9345571,0.951851924
original_firstorder_Median,0.966089307,0.960586209,0.971210361
original_firstorder_Minimum,0.662757625,0.626721042,0.69969279
original_firstorder_Range,0.799286816,0.77296629,0.825116405
original_firstorder_RobustMeanAbsoluteDeviation,0.952230755,0.944605395,0.959358146
original_firstorder_RootMeanSquared,0.943850897,0.934977612,0.952166893
original_firstorder_Skewness,0.878815657,0.861150066,0.895718306
original_firstorder_TotalEnergy,0.994750997,0.993870174,0.995563215
original_firstorder_Uniformity,0.933492463,0.923113222,0.94325199
original_firstorder_Variance,0.949086138,0.94098937,0.95666174
log-sigma-1-0-mm-3D_firstorder_10Percentile,0.919441732,0.907084085,0.931113668
log-sigma-1-0-mm-3D_firstorder_90Percentile,0.916095501,0.903277563,0.928215099
log-sigma-1-0-mm-3D_firstorder_Energy,0.994714341,0.993827405,0.995532207
log-sigma-1-0-mm-3D_firstorder_Entropy,0.927173688,0.915895593,0.93779977
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.939889127,0.930435091,0.948760591
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.877620255,0.859807677,0.894670031
log-sigma-1-0-mm-3D_firstorder_Maximum,0.87103579,0.852422937,0.888888966
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.936779287,0.926873525,0.946083855
log-sigma-1-0-mm-3D_firstorder_Mean,0.866765842,0.847642461,0.885133664
log-sigma-1-0-mm-3D_firstorder_Median,0.760955441,0.731263278,0.790451475
log-sigma-1-0-mm-3D_firstorder_Minimum,0.843613564,0.821837046,0.864684455
log-sigma-1-0-mm-3D_firstorder_Range,0.880922078,0.863516765,0.897564523
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.939137942,0.929574458,0.948114259
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.864613349,0.845235124,0.883238709
log-sigma-1-0-mm-3D_firstorder_Skewness,0.826352512,0.802723423,0.849341932
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.994714341,0.993827405,0.995532207
log-sigma-1-0-mm-3D_firstorder_Uniformity,0.812011073,0.78692356,0.836531128
log-sigma-1-0-mm-3D_firstorder_Variance,0.918500112,0.906012519,0.930298323
log-sigma-3-0-mm-3D_firstorder_10Percentile,0.974533829,0.970359807,0.978407637
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.959607937,0.953103207,0.965673604
log-sigma-3-0-mm-3D_firstorder_Energy,0.994737709,0.99385467,0.995551974
log-sigma-3-0-mm-3D_firstorder_Entropy,0.952480687,0.944892954,0.959572342
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,0.967415523,0.962119353,0.972341933
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.950221929,0.942294994,0.957635945
log-sigma-3-0-mm-3D_firstorder_Maximum,0.900303687,0.885369652,0.914495299
log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.971134831,0.966422564,0.975512911
log-sigma-3-0-mm-3D_firstorder_Mean,0.974628453,0.970469478,0.97848818
log-sigma-3-0-mm-3D_firstorder_Median,0.968597354,0.96348615,0.973349922
log-sigma-3-0-mm-3D_firstorder_Minimum,0.940097064,0.930673362,0.948939478
log-sigma-3-0-mm-3D_firstorder_Range,0.935876306,0.925840062,0.94530615
log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.970048691,0.965165362,0.974587273
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,0.974426915,0.970235894,0.978316631
log-sigma-3-0-mm-3D_firstorder_Skewness,0.921490235,0.90941643,0.932886641
log-sigma-3-0-mm-3D_firstorder_TotalEnergy,0.994737709,0.99385467,0.995551974
log-sigma-3-0-mm-3D_firstorder_Uniformity,0.929383507,0.91841806,0.939707745
log-sigma-3-0-mm-3D_firstorder_Variance,0.967478561,0.962192244,0.972395707
log-sigma-6-0-mm-3D_firstorder_10Percentile,0.954437973,0.947145735,0.961249205
log-sigma-6-0-mm-3D_firstorder_90Percentile,0.872209955,0.853738651,0.889920735
log-sigma-6-0-mm-3D_firstorder_Energy,0.994725693,0.99384065,0.99554181
log-sigma-6-0-mm-3D_firstorder_Entropy,0.906558326,0.892451352,0.919937314
log-sigma-6-0-mm-3D_firstorder_InterquartileRange,0.939660601,0.930173246,0.948563979
log-sigma-6-0-mm-3D_firstorder_Kurtosis,0.814773931,0.789961704,0.839003605
log-sigma-6-0-mm-3D_firstorder_Maximum,0.850195909,0.829154004,0.870513367
log-sigma-6-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.943680371,0.934781967,0.952020362
log-sigma-6-0-mm-3D_firstorder_Mean,0.920181504,0.90792618,0.931754068
log-sigma-6-0-mm-3D_firstorder_Median,0.932740761,0.922253804,0.942603933
log-sigma-6-0-mm-3D_firstorder_Minimum,0.922579067,0.910656769,0.933828563
log-sigma-6-0-mm-3D_firstorder_Range,0.90076619,0.885892817,0.914898074
log-sigma-6-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.940124338,0.930704615,0.94896294
log-sigma-6-0-mm-3D_firstorder_RootMeanSquared,0.915795702,0.902936729,0.927955261
log-sigma-6-0-mm-3D_firstorder_Skewness,0.910052007,0.896413316,0.922972492
log-sigma-6-0-mm-3D_firstorder_TotalEnergy,0.994725693,0.99384065,0.99554181
log-sigma-6-0-mm-3D_firstorder_Uniformity,0.924330317,0.912652627,0.935342863
log-sigma-6-0-mm-3D_firstorder_Variance,0.926420477,0.915036234,0.937149144
wavelet-LLH_firstorder_10Percentile,0.915314288,0.902389491,0.927537965
wavelet-LLH_firstorder_90Percentile,0.95578074,0.948692061,0.962399007
wavelet-LLH_firstorder_Energy,0.994708488,0.993820576,0.995527255
wavelet-LLH_firstorder_Entropy,0.78444464,0.7567578,0.811743727
wavelet-LLH_firstorder_InterquartileRange,0.945191761,0.936516373,0.953318816
wavelet-LLH_firstorder_Kurtosis,0.705842295,0.672189223,0.739864698
wavelet-LLH_firstorder_Maximum,0.843667897,0.821897379,0.864732618
