seed,training patients,testing patients,final features,train C-index,test C-index,train pvalue,test pvalue,perturbation training outcome,perturbation testing outcome,robustness train ICC,robustness test ICC,train perturbed C-index,test perturbed C-index,train perturbed p value,test perturbed p value
81.0,HN-CHUS-043,HN-CHUS-023,log-sigma-6-0-mm-3D_glszm_GrayLevelNonUniformity_150_binCount,0.7377508166122259,0.6629680998613038,0.013199524691950938,0.256347302445789,2.134100488414262,0.49315692587365856,0.9659833842397919,0.9746948978464942,0.7260849276714886,0.6615811373092927,0.03518391643579919,0.31005826580015694
,HN-HMR-002,HN-CHUS-070,wavelet-HHL_glszm_GrayLevelNonUniformity_50_binCount,,,,,1.9464096354891873,0.47674450685389547,0.9593289973030604,0.9669051382115598,0.7249183387774149,0.6796116504854369,0.0961344243344452,0.4389521818013141
,HN-HGJ-058,HN-CHUS-040,,,,,,2.42131656202952,0.5044045926627168,0.9720883871350287,0.9814898292945502,0.7202519832011199,0.6601941747572816,0.031839030190242576,0.2210033992728978
,HN-HMR-029,HN-HGJ-033,,,,,,2.0400060744155857,0.46444861993445496,,,0.7363509099393374,0.6851595006934813,0.013088073040089056,0.2253651936858926
,HN-CHUS-099,HN-CHUM-018,,,,,,2.292055116446739,0.5294998885551637,,,0.7377508166122259,0.6490984743411928,0.012147713701882312,0.24480820162514336
,HN-CHUS-075,HN-CHUM-014,,,,,,2.4022802508457235,0.4274329189378159,,,0.7256182921138591,0.6504854368932039,0.029427289670399148,0.2210033992728978
,HN-CHUS-076,HN-CHUM-046,,,,,,1.9514685924548394,0.5498233845195851,,,0.7260849276714886,0.665742024965326,0.03898102705906829,0.2210033992728978
,HN-CHUS-035,HN-CHUS-001,,,,,,2.2398892849900003,0.4033879026173562,,,0.7277181521231918,0.6726768377253814,0.08716313158153953,0.1794831954555738
,HN-CHUS-045,HN-HGJ-086,,,,,,2.3036078892360035,0.45539257069229727,,,0.7260849276714886,0.6740638002773925,0.0107006304889963,0.2210033992728978
,HN-CHUM-021,HN-CHUM-005,,,,,,2.4799579475203357,0.43741724829350453,,,0.7363509099393374,0.6851595006934813,0.0030454503382116877,0.32893695184293725
